證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
057858,T50正2康和98購01,"40,000",4,"5,000",0.13,0.13,0.12,0.12,+,0.01,0.10,20,0.11,10,34.63,
057859,神達康和98購01,"16,000",2,"18,320",1.13,1.15,1.13,1.15,-,0.01,0.93,10,0.94,10,27.75,
05785P,臺股指元大96售19,0,0,0,--,--,--,--, ,0.0,7.45,100,7.95,10,0.00,
057860,金寶凱基98購01,"20,000",2,"5,200",0.30,0.30,0.22,0.22,-,0.05,0.19,100,0.21,30,10.50,
057861,台積電凱基98購16,"10,000",1,"4,600",0.46,0.46,0.46,0.46,-,0.19,0.40,5,0.50,5,276.50,
057862,智邦凱基99購01,"164,000",24,"112,410",0.77,0.79,0.62,0.62,-,0.16,0.60,100,0.62,10,163.00,
057863,美律凱基9A購01,"20,000",1,"10,400",0.52,0.52,0.52,0.52,+,0.08,0.46,100,0.47,10,125.00,
057864,奇力新凱基99購03,"550,000",11,"137,050",0.36,0.36,0.24,0.24,-,0.02,0.23,100,0.25,10,82.50,
057865,富邦金凱基98購01,"130,000",4,"30,900",0.24,0.24,0.22,0.22,X,0.0,0.19,100,0.20,10,38.05,
057866,玉山金凱基98購01,"76,000",6,"20,670",0.27,0.32,0.23,0.23,-,0.13,0.22,100,0.23,10,25.20,
057867,大立光凱基98購17,0,0,0,--,--,--,--, ,0.0,0.64,100,0.65,10,"3,725.00",
057868,大立光凱基98購18,0,0,0,--,--,--,--, ,0.0,0.91,100,0.93,10,"3,725.00",
057869,大立光凱基99購01,0,0,0,--,--,--,--, ,0.0,0.90,100,0.91,10,"3,725.00",
05786P,臺股指永昌96售03,"32,000",8,"1,408,000",43.00,45.00,43.00,44.00,+,16.0,44.00,133,50.00,1,0.00,
057870,大立光凱基99購02,"233,000",11,"285,900",1.30,1.31,0.92,0.92,-,0.03,0.92,40,0.93,10,"3,725.00",
057871,國巨元大99購09,"97,000",11,"36,580",0.46,0.47,0.32,0.32,X,0.0,0.28,10,--,0,290.50,
057872,旺宏元大99購06,"20,000",2,"17,600",0.87,0.89,0.87,0.89,+,0.23,0.59,100,0.60,10,27.20,
057873,義隆元大98購03,"20,000",2,"30,800",1.47,1.61,1.47,1.61,+,0.25,1.25,100,1.27,10,75.00,
057874,可成元大99購02,"60,000",6,"41,700",0.69,0.72,0.68,0.69, ,0.0,0.58,10,0.59,10,187.00,
057875,京鼎元大98購03,"225,000",4,"72,000",0.32,0.33,0.22,0.22,-,0.11,0.20,100,0.21,10,111.00,
057876,隆達元大98購01,"10,000",1,"5,100",0.51,0.51,0.51,0.51,-,0.12,0.50,100,0.53,10,11.85,
057877,神達元大99購01,"79,000",8,"127,610",1.52,1.72,1.52,1.72,+,0.02,1.32,10,1.33,10,27.75,
057878,台郡元大99購04,"10,000",1,"12,900",1.29,1.29,1.29,1.29,+,0.19,1.12,100,1.13,10,94.00,
057879,電子類元大99購02,"351,000",36,"162,050",0.56,0.58,0.42,0.42,-,0.21,0.39,1,0.47,10,0.00,
05787P,臺股指永昌96售04,"32,000",9,"1,439,000",44.00,45.00,44.00,45.00,+,17.0,45.00,155,50.00,1,0.00,
